epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,1012.72,0.14055,0.12778,0.15193,0.8307,0,0.99935,1,0.995,0.995,0.99935,1,0.995,0.99482,0.09031,0.08846,0.09608,0.69316,0,0.00265875,0.00088625,0.00265875,0.00088625,0.00265875,0.00088625,0.00265875,0.00088625
47,1029.77,0.14353,0.13094,0.14917,0.83528,0,0.99943,1,0.995,0.995,0.99943,1,0.995,0.99479,0.0896,0.08975,0.09533,0.69357,0,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615
48,1046.91,0.14474,0.13307,0.15146,0.83555,0,0.99941,1,0.995,0.995,0.99941,1,0.995,0.99477,0.0801,0.08883,0.09823,0.69081,0,0.00251025,0.00083675,0.00251025,0.00083675,0.00251025,0.00083675,0.00251025,0.00083675
49,1063.99,0.14567,0.13418,0.17056,0.82742,0,0.99942,1,0.995,0.995,0.99942,1,0.995,0.99478,0.07693,0.08965,0.08965,0.68989,0,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
50,1081.14,0.14015,0.13411,0.13727,0.83551,0,0.99941,1,0.995,0.995,0.99941,1,0.995,0.995,0.0782,0.0896,0.08159,0.69078,0,0.00236175,0.00078725,0.00236175,0.00078725,0.00236175,0.00078725,0.00236175,0.00078725
51,1098.23,0.13637,0.13036,0.13708,0.83132,0,0.99941,1,0.995,0.995,0.99941,1,0.995,0.995,0.07602,0.08836,0.08685,0.69,0,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625
52,1115.46,0.12826,0.12742,0.12948,0.83607,0,0.99942,1,0.995,0.995,0.99942,1,0.995,0.995,0.07592,0.08914,0.08408,0.69164,0,0.00221325,0.00073775,0.00221325,0.00073775,0.00221325,0.00073775,0.00221325,0.00073775
53,1132.59,0.13146,0.12809,0.13811,0.82746,0,0.99942,1,0.995,0.995,0.99942,1,0.995,0.995,0.07898,0.08917,0.08725,0.69083,0,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
54,1149.89,0.12485,0.12521,0.12783,0.82482,0,0.99941,1,0.995,0.995,0.99941,1,0.995,0.995,0.07567,0.08733,0.08067,0.6904,0,0.00206475,0.00068825,0.00206475,0.00068825,0.00206475,0.00068825,0.00206475,0.00068825
55,1167,0.12876,0.12466,0.13313,0.84113,0,0.99941,1,0.995,0.995,0.99941,1,0.995,0.995,0.0758,0.08689,0.09092,0.68947,0,0.0019905,0.0006635,0.0019905,0.0006635,0.0019905,0.0006635,0.0019905,0.0006635
56,1184.24,0.12797,0.13357,0.12914,0.82542,0,0.99939,1,0.995,0.995,0.99939,1,0.995,0.995,0.07663,0.08741,0.08373,0.68965,0,0.00191625,0.00063875,0.00191625,0.00063875,0.00191625,0.00063875,0.00191625,0.00063875
57,1202.85,0.12638,0.13449,0.12621,0.83109,0,0.99939,1,0.995,0.995,0.99939,1,0.995,0.99484,0.07565,0.08754,0.07894,0.68947,0,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
58,1221.5,0.12361,0.12792,0.12649,0.83813,0,0.99941,1,0.995,0.995,0.99941,1,0.995,0.99484,0.07206,0.08906,0.08774,0.68945,0,0.00176775,0.00058925,0.00176775,0.00058925,0.00176775,0.00058925,0.00176775,0.00058925
59,1240.08,0.13167,0.12934,0.12887,0.82693,0,0.99942,1,0.995,0.995,0.99942,1,0.995,0.99482,0.07677,0.08971,0.08542,0.69022,0,0.0016935,0.0005645,0.0016935,0.0005645,0.0016935,0.0005645,0.0016935,0.0005645
60,1258.85,0.12473,0.12296,0.12105,0.83789,0,0.99941,1,0.995,0.995,0.99941,1,0.995,0.99483,0.07242,0.08864,0.08068,0.68892,0,0.00161925,0.00053975,0.00161925,0.00053975,0.00161925,0.00053975,0.00161925,0.00053975
61,1277.3,0.12702,0.13627,0.1319,0.8217,0,0.99941,1,0.995,0.995,0.99941,1,0.995,0.995,0.07362,0.08803,0.07882,0.68905,0,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
